"CHEM_COMP_ID","SMILES"
"GQ5","c1cn[nH]c1"
"UKA","c1cncnc1"
"4I5","c1ccc2[nH]ccc2c1"
"4I5","c1ccccc1"
"IMJ","c1ccncc1"
"IMJ","c1cc[nH]c1"
"4I5","c1cc[nH]c1"
"PUB","CC(N)=O"
"9EA","CC(N)=O"
"9EA","c1ccc2[nH]ccc2c1"
"PUB","C1=CCNC1"
"9EA","c1ccc2ccccc2c1"
"9EA","c1ccccc1"
"PUB","c1cc[nH]c1"
"ETV","c1cncnc1"
"5C5","NCC=O"
"5C5","c1ccccc1"
"MQ7","c1ccccc1"
"IMJ","CCNc1ncccc1C"
"FX5","c1ccccc1"
"FX5","C1CNCCN1"
"RQX","NCC=O"
"FX5","c1ccnnc1"
"S85","c1ccccc1"
"S85","c1ccncc1"
"N9V","Nc1ncnc2nc[nH]c12"
"N9V","CC(N)=O"
"N9V","c1c[nH]cn1"
"N9V","O=P(O)(O)O"
"N9V","c1ncc2[nH]cnc2n1"
"9EA","C1CNCCN1"
"8BL","C1CCCCC1"
"9EA","c1cn[nH]c1"
"8BL","C1CCCC1"
"8BL","c1ccccc1"
"9EA","c1ccncc1"
"N9V","c1cncnc1"
"IAN","c1ccccc1"
"9EA","c1cc[nH]c1"
"N9V","OCC1OCC(O)C1O"
"E12","c1ccncc1"
"7M1","c1ccccc1"
"2J1","c1ccc2[nH]ccc2c1"
"2J1","c1ccccc1"
"3NZ","Nc1ncnc2nc[nH]c12"
"3NZ","CC(N)=O"
"3NZ","c1c[nH]cn1"
"2J1","c1cc[nH]c1"
"9EA","Oc1ccc(N2CCNCC2)cc1"
"3NZ","NCC=O"
"B2D","c1cnc2cccnc2c1"
"B2D","c1ccccc1"
"3NZ","c1ccccc1"
"HNI","C1~C~C2~C~C3~C~C~C(~C~C4~C~C~C(~C~C5~C~C~C(~C~C~1~N~2)~N~5)~N~4)~N~3"
"B2D","c1ccnnc1"
"B2D","c1ccncc1"
"HNI","c1cc[nH]c1"
"50E","c1ccncc1"
"E87","CC(N)=O"
"3NZ","c1ncc2[nH]cnc2n1"
"6ED","c1ccccc1"
"3NZ","c1cncnc1"
"6ED","c1cn[nH]c1"
"2W2","NCC=O"
"FPB","CC(N)=O"
"FPB","c1ccccc1"
"6ED","c1ccncc1"
"4UL","CC(N)=O"
"4UL","c1c[nH]cn1"
"4UL","c1ccccc1"
"4UL","c1ccncc1"
"5LS","OC1CCCCO1"
"HRX","c1ccncc1"
"2VY","c1cncnc1"
"2VY","c1ccsc1"
"1BX","c1ccccc1"
"S72","CC(N)=O"
"1BX","c1ccncc1"
"S72","C1CCCCC1"
"WY5","c1ccccc1"
"3WH","c1cc[nH]c1"
"3WH","CC(C)Nc1ncccn1"
"3WH","CNc1ncccn1"
"B1Y","CC(N)=O"
"DN6","CC(N)=O"
"DN6","c1ccccc1"
"T","c1cncnc1"
"GUD","O=P(O)(O)O"
"GUD","OC1CCCCO1"
"IZ3","CC(N)=O"
"NAI","Nc1ncnc2nc[nH]c12"
"ZRL","c1ccncc1"
"PCN","CC(N)=O"
"GUD","c1cncnc1"
"GUD","OCC1OCC(O)C1O"
"PCN","NCC=O"
"PCN","c1cscn1"
"ZRL","c1ccsc1"
"74V","CC(N)=O"
"7R4","CC(N)=O"
"PP9","C1~C~C2~C~C3~C~C~C(~C~C4~C~C~C(~C~C5~C~C~C(~C~C~1~N~2)~N~5)~N~4)~N~3"
"PP9","c1cc[nH]c1"
"NS3","C1CCCC1"
"NS3","c1ccccc1"
"7R4","c1ccccc1"
"47K","CC(N)=O"
"47K","c1cnoc1"
"EB7","CNS(=O)(=O)c1ccccc1Cl"
"6DX","c1ccoc1"
"6DX","c1ccccc1"
"6DX","C1CNCCN1"
"NS3","C1CNCCN1"
"74V","c1ccoc1"
"NAI","CC(N)=O"
"47K","NCC=O"
"3KA","OCC1OCCC1O"
"NAI","c1c[nH]cn1"
"NAI","O=P(O)(O)O"
"08K","c1ccccc1"
"IZ3","c1ccccc1"
"CXL","C1CCCCC1"
"K7J","CC(N)=O"
"K7J","NCC=O"
"K7J","c1ccccc1"
"QPP","c1ccccc1"
"QPP","c1cn[nH]c1"
"N05","c1ccccc1"
"N05","c1cn[nH]c1"
"IZ3","CNS(=O)(=O)c1cccc(F)c1"
"IZ3","CNS(=O)(=O)Cc1ccccc1"
"QPP","c1cncnc1"
"QPP","c1ccc2ncncc2c1"
"9V2","CC(N)=O"
"9V2","O=C1CCC(=O)N1"
"NAI","c1ncc2[nH]cnc2n1"
"2AZ","C1CC1"
"YDJ","CC(N)=O"
"K5M","CC(N)=O"
