CHEM_COMP_ID,SMILES
PCD,O=c1ncccn1[C@H]1CC[C@H](CO[PH](=O)O[PH](=O)OC[C@@H]2O[C@H]3Nc4ncncc4N[C@H]3C3=C2S[Mo-]S3)O1
PDP,c1ccncc1
PLP,c1ccncc1
PLR,c1ccncc1
PMP,c1ccncc1
PP9,C1=Cc2cc3ccc(cc4nc(cc5ccc(cc1n2)[nH]5)C=C4)[nH]3
PQQ,O=C1C(=O)c2ncccc2-c2[nH]ccc21
PXP,c1ccncc1
PZP,c1ccncc1
R1T,c1ncc(Cc2ccsc2)cn1
RBF,O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1
RFL,O=c1nc2n(CCCCCO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5cncnc54)O3)c3ccccc3nc-2c(=O)[nH]1
S0N,O=C(CCCO[PH](=O)O[PH](=O)OC[C@H]1CC[C@@H](n2cnc3cncnc32)O1)NCCC(=O)NCCNC(=O)CCC(=O)c1ccccc1
S1T,c1ncc(Cc2ccsc2)cn1
SA8,c1ncc2ncn([C@@H]3CCCO3)c2n1
SAD,O=[PH](C[PH](=O)OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)OC[C@@H]1CC[C@@H](c2ncc[se]2)O1
SAE,O=[PH](OC[C@@H]1CC[C@@H](c2ncc[se]2)O1)O[PH](=O)OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1
SAH,c1ncc2ncn([C@@H]3CCCO3)c2n1
SAM,c1ncc2ncn([C@@H]3CCCO3)c2n1
SCA,c1ncc2ncn([C@H]3CCCO3)c2n1
SCD,c1ncc2ncn([C@H]3CCCO3)c2n1
SCO,c1ncc2ncn([C@H]3CCCO3)c2n1
SDX,c1ncc2ncn([C@@H]3CCCO3)c2n1
SFD,O=C1N=C2[C@@H](Nc3ccccc3N2CCCCCO[PH](=O)O[PH](=O)OC[C@@H]2CC[C@H](n3cnc4cncnc43)O2)C(=O)N1
SFG,c1ncc2ncn([C@@H]3CCCO3)c2n1
SH0,C1=C[C@H]2C[C@@H]3CCC(=N3)C=C3CCC(=C[C@H]4CCC(=CC1=N2)N4)N3
SMM,c1ncc2ncn([C@H]3CCCO3)c2n1
SND,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1
SOP,c1ncc2ncn([C@@H]3CCCO3)c2n1
SRM,C1=C2C=c3ccc4n3[Fe]35N2C(=CC2=CCC(=Cc6ccc(n63)C=4)N25)C1
SX0,c1ncc2ccn([C@H]3CCCO3)c2n1
T1G,c1ncc2ncn([C@H]3CCCO3)c2n1
T5X,c1ncc(C[n+]2ccsc2)cn1
T6F,c1ncc(C[n+]2ccsc2)cn1
TAD,O=[PH](C[PH](=O)OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)OC[C@@H]1CC[C@@H](c2nccs2)O1
TAP,O=[PH](OC[C@@H]1CC[C@@H](n2cnc3cncnc32)O1)O[PH](=O)OC[C@@H]1CC[C@@H]([n+]2ccccc2)O1
TC6,c1ncc2ncn([C@H]3CCCO3)c2n1
TD6,c1ncc(C[n+]2ccsc2)cn1
TD7,C=C1SC=CN1Cc1cncnc1
TD8,c1ncc(C[n+]2ccsc2)cn1
TD9,c1ncc(C[n+]2ccsc2)cn1
TDK,c1ncc(C[n+]2ccsc2)cn1
TDL,c1ncc(C[n+]2ccsc2)cn1
TDM,C=C1SC=CN1Cc1cncnc1
TDP,c1ncc(C[n+]2ccsc2)cn1
TDT,O=C([C@H](c1ccccc1)n1cnc2nn(C3C=CN([C@@H]4CC[C@@H](CO[PH](=O)O[PH](=O)OC[C@@H]5CC[C@@H](n6cnc7cncnc76)O5)O4)C=C3)cc2c1=S)N1CCCCCC1
TDW,c1ncc(C[n+]2ccsc2)cn1
THD,C=C1SC=CN1Cc1cncnc1
THF,O=c1nc[nH]c2c1N[C@@H](CNc1ccccc1)C=N2
THG,O=c1[nH]cnc2c1N[C@H](CNc1ccccc1)CN2
THH,c1ccc(NC[C@@H]2CNc3ncncc3N2)cc1
THV,c1ncc(C[n+]2ccsc2)cn1
THW,c1ccc([CH-]c2scc[n+]2Cc2cncnc2)cc1
THY,c1ncc(C[n+]2ccsc2)cn1
TOQ,c1ccc2[nH]ccc2c1
TP8,N=C1N=CN=C[C@@H]1C[n+]1ccsc1
TPP,c1ncc(C[n+]2ccsc2)cn1
TPQ,O=C1C=CC(=O)C=C1
