CHEM_COMP_ID,Total Molweight,cLogP,H-Acceptors,H-Donors,Druglikeness,Rings
YI3,460.74,7.354,3,3,-6.8837,3
YI2,476.719,5.2466,4,4,0.95486,3
YI1,330.246,0.6724,5,3,-17.604,2
YI0,334.782,4.0835,5,2,-3.634,3
YHX,190.158,0.5785,5,0,-7.74,2
YHO,133.146,-2.0962,4,4,0.81849,1
YH7,167.196,-1.4054,5,3,0.95413,2
YH6,,,,,,
YH6,315.356,0.8155,7,3,3.6724,3
YH5,,,,,,
YH5,331.355,0.4016,8,3,3.7583,3
YH4,315.356,0.8155,7,3,3.6724,3
YH4,,,,,,
YH3,315.356,0.8155,7,3,3.6724,3
YH3,,,,,,
YH2,298.329,0.7408,7,3,-1.0143,3
YH2,,,,,,
YH1,,,,,,
YH1,301.329,0.4716,7,3,3.7055,3
YGP,484.361,-3.9301,15,6,-33.241,4
YGL,,,,,,
YGL,302.336,2.6194,5,3,3.3887,4
YG,588.465,-4.0412,18,5,-26.903,4
YFF,338.338,-0.3747,8,5,3.3038,1
YFE,340.418,4.9529,4,2,-2.6379,2
YFD,306.4,4.8742,4,2,-11.349,1
YFB,408.536,7.1247,4,2,-2.7623,2
YF4,180.254,0.0331,4,1,3.8207,1
YF3,212.32,0.0587,4,2,-1.3082,1
YF1,123.158,0.3478,3,1,-2,1
YEX,264.287,1.83,5,2,3.8233,4
YEX,,,,,,
YET,436.514,1.7551,9,2,-0.23165,4
YES,208.253,-0.8363,5,5,-6.0296,0
YEN,559.467,-5.7424,16,8,-12.879,1
YEJ,420.532,0.1092,8,3,0.90493,4
YEG,86.1334,0.8579,1,1,-2.9562,1
YE7,226.238,0.1737,5,2,-3.2896,3
YE6,236.657,1.5277,4,2,-3.6435,2
YE1,900.619,-9.8822,27,12,-41.708,4
YDR,358.363,-3.4479,10,8,-2.2661,2
YDP,603.763,2.6795,11,3,4.3882,3
YDK,344.438,2.3001,6,4,5.0912,3
YDJ,362.428,2.2935,6,4,3.0816,3
YDI,348.426,1.3302,7,3,7.3962,2
YD3,510.657,1.7609,8,3,1.0413,5
YCU,457.531,2.0199,11,4,4.1699,2
YCP,129.158,-2.2705,3,2,-2.7231,1
YCO,397.279,-3.6323,11,4,-17.315,4
YCN,172.275,-2.2668,4,4,0.5423,0
YCM,178.211,-4.019,5,3,-5.5285,0
YCL,354.793,0.0802,8,5,4.5754,1
YCF,440.467,1.734,13,9,3.2451,2
YC8,284.314,2.1982,5,2,-3.5619,2
YC2,549.313,0.3225,11,6,-11.662,1
YBY,480.206,-0.472,10,6,-9.6062,1
YBT,,,,,,
YBT,298.147,-2.36,6,5,2.1327,5
YBN,397.494,4.0201,5,1,2.3759,4
YBH,560.629,3.2706,10,3,-1.634,4
YAU,559.463,5.5864,6,3,4.1605,4
YAP,510.399,-5.2532,15,6,-44.359,4
YAN,147.004,2.8716,0,0,-2.0851,1
YAM,507.496,1.6748,10,3,-4.2054,4
YAK,534.588,0.7378,10,3,1.4442,5
YAC,204.224,1.8199,3,1,-5.2195,1
YA2,486.778,8.0005,3,3,-7.3752,3
YA1,472.751,7.5461,3,3,-9.3883,3
Y9Z,528.307,-7.4985,18,7,-30.306,3
Y8L,382.491,1.7478,7,1,6.5225,4
Y81,329.358,2.4887,5,1,3.7132,4
Y80,384.434,3.4264,5,1,4.8429,4
Y7Y,316.377,1.5457,7,1,-19.145,2
