"SMILES","COUNT(*)"
"C(#Cc1ccccc1)c1ccccc1",5
"O=C(c1ccccc1)N1CCC[C@@H](c2ccnc3ncnn23)C1",5
"C1=[O+]CCCC1",5
"c1n[nH]c2c1CCCC2",5
"O=C1CCCCCN1",5
"c1ccc2c(-n3cccn3)cccc2c1",5
"O=C1NC(=O)c2ccccc21",5
"O=c1ccn(CCOc2ccccc2Oc2ccccc2)c(=O)[nH]1",5
"O=c1[nH]cnc2cc3nc(NCCc4ccccc4)[nH]c3cc12",5
"O=C(CCCC[C@H]1SC[C@H]2NC(=O)N[C@H]21)NCC[N+]12CCc3cccc[n+]3[Cu-3]1[n+]1ccccc1CC2",5
"O=C(Cc1ccccc1)NN=Cc1ccccc1",5
"C1=NCCCN1",5
"c1cc(CCCCCOc2ccc(C3=NCCO3)cc2)on1",5
"O=C1COc2ccccc2N1",5
"c1ccc(-c2ncon2)cc1",5
"c1nc(N2CCN(C3=NCCS3)CC2)c2ccsc2n1",5
"O=C1Nc2cnc(Nc3ccc(C(=O)N4CCC(N5CCNCC5)CC4)cc3)nc2Nc2ccccc21",5
"O=c1ncccn1[C@@H]1CSCO1",5
"c1ccc(Nc2nccs2)cc1",5
"O=C(c1ccccc1)n1ccc2ccccc21",5
"O=C(Nc1ccccc1)[C@H]1CNC[C@@H]1C(=O)Nc1ccc(-n2ccccc2=O)cc1",5
"c1csc[nH+]1",5
"c1ccc(CCc2nccn2Cc2ccccc2)cc1",5
"c1ccc(-c2ccc3ncncc3c2)cc1",5
"c1cnc2c(c1)ccc1cccnc12",5
"C(=C(c1ccccc1)c1ccccc1)c1cccc(Nc2ccccc2)c1",5
"O=S(=O)(NCCCCc1ccccc1)c1ccccc1",5
"O=C(c1ccccc1)c1cccc(-c2ccccc2)n1",5
"c1ccc(-c2ncnc3[nH]ccc23)cc1",5
"C1CC[NH2+]CC1",5
"c1ccc(CNc2ncnc3[nH]cnc23)cc1",5
"O=c1nc[nH]c2[nH]cnc12",5
"O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1ccccc1",5
"O=c1[nH]nc(-c2ccccc2)n1-c1ccccc1",5
"O=c1[nH]cnc2[nH]c(SCc3ccccc3)nc12",5
"c1csc(-c2noc(C3CCNCC3)n2)c1",5
"O=S(=O)(Nc1ccccc1)[C@H]1C[C@@H]2O[C@@H]1C(c1ccccc1)=C2c1ccccc1",5
"c1ccc2nc3ccccc3nc2c1",5
"O=C1CNC(=O)N1",5
"N=C1NC(=O)C(=Cc2ccc(-c3ccccc3)o2)S1",5
"O=C(NCCc1ccccc1)c1ccccc1",5
"c1ccc(-c2cc3ccccc3o2)cc1",5
"O=S(=O)(Nc1ccc2oncc2c1)c1ccccc1",5
"c1ccc(-c2ccc3[nH]ncc3c2)cc1",5
"O=C(CC[C@H]1CCCN1)NCCc1ccccc1",5
"O=c1[nH]cnc2cc3nc[nH]c3cc12",5
"c1ccc(CCCCNCCc2ccccc2)cc1",5
"C1CC[NH2+]C1",5
"c1ccc2c(c1)ncc1nc[nH]c12",5
"c1cnc2ncncc2n1",5
"c1ccc2c(c1)Nc1ccccc1S2",5
"O=C(NCC=C[C@H]1CC[C@H](n2cnc3cncnc32)O1)c1cccc(-c2ccccc2)c1",5
"O=c1[nH]cnc2nc[nH]c12",5
"c1ccc(-c2c[nH]cn2)cc1",5
"O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccccc3c21",5
"O=c1[nH]ccc2ccccc12",5
"c1ccc2c(c1)CCCO2",5
"O=[PH](CCCc1ccccc1)CCCc1ccccc1",5
"C=C1SC=CN1Cc1cncnc1",5
"O=c1ccnc[nH]1",5
"c1ccc(N2CCNCC2)nc1",5
"O=C(Nc1nccs1)NS(=O)(=O)c1ccccc1",5
"C1CCC1",5
"c1ccc2cc(-c3nn(CC4CCNCC4)c4ncncc34)ccc2c1",5
"c1cnc(-c2c[nH]c3ncccc23)nc1",5
"O=c1ccc2ccc(-c3ccccc3)cc2[nH]1",5
"c1ccc(Nc2nccc(Nc3cccc4c3OCO4)n2)cc1",5
"c1ccc(OCc2ccccn2)cc1",5
"c1ccc(Nc2ncccn2)cc1",5
"O=C(NC1CCCCC1)c1ccccc1",5
"N=C1C(=C2C(=O)Nc3ccccc32)Nc2ccccc21",5
"O=C(CCc1ccccc1)N[C@@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O",5
"O=C(NCc1ccccc1)[C@H]1CCCN1C(=O)CNS(=O)(=O)Cc1ccccc1",5
"O=S1(=O)NCc2ccc(Nc3nccc(Nc4cccc5[nH]ncc45)n3)cc21",5
"c1ccc(COc2cccc3ncncc23)cc1",5
"c1cc2cc(c1)Cc1cccc(c1)Cc1cccc(c1)Cc1cccc(c1)C2",5
"O=C1N(CCCCCOc2ccccc2)CCN1c1ccncc1",5
"C(#Cc1cncnc1)Cc1cccc(-c2ccncc2)c1",5
"c1ccc(-c2nnc([C@@H]3CCCCO3)[nH]2)cc1",5
"O=C1CCN([C@H]2CCCO2)C(=O)N1",5
"O=c1c2ccccc2oc2ccccc12",5
"c1nc(NC2CCN(Cc3ccc4[nH]ccc4c3)CC2)c2ccsc2n1",5
"O=C(Nc1ccccc1)[C@@H]1CC(=O)N(C2CCCCC2)C1",5
"c1nn[nH]n1",5
"C=C1C=CNC=C1",5
"c1ccc(-n2cc(-c3cc4cnccc4[nH]3)cn2)cc1",5
"c1cc(Nc2cc3[nH]cnc3cn2)nc(N2CCCCC2)n1",5
"O=c1ccn([C@@H]2CCCOC2)c(=O)[nH]1",5
"O=c1ccc2cc3ccoc3cc2o1",5
"O=c1[nH]cc([C@H]2CCCO2)c(=O)[nH]1",5
"c1ccc(CCNCCc2ccccc2)cc1",5
"c1coc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)c1",5
"C1CC[C@H]2CC[C@@H]3[C@@H]4CCCC4CC[C@@H]3C2C1",5
"O=C(NS(=O)(=O)c1ccccc1)c1cc2ccccc2[nH]1",5
"c1ccc2n[nH]cc2c1",5
"c1ccc(N2CCCC2)cc1",5
